,fr_yn,bldng_us,bldng_archtctr,bldng_cnt,bldng_ar,ttl_ar,lnd_ar,ttl_grnd_flr,ttl_dwn_flr,bldng_us_clssfctn,tmprtr,wnd_spd,wnd_drctn,hmdt,jmk,rgnl_ar_nm,lnd_us_sttn_nm,fr_sttn_dstnc,bldng_ar_prc,fr_wthr_fclt_dstnc,fr_mn_cnt,mlt_us_yn,cctv_dstnc,fr_wthr_fclt_in_100m,cctv_in_100m,tbc_rtl_str_dstnc,sft_emrgnc_bll_dstnc,ahsm_dstnc,no_tbc_zn_dstnc,bldng_cnt_in_50m,dt_of_fr_hr,dt_of_fr_mth,화재시점나이,한채당가용면적,면적대비예상채수,예상채수초과,한채당평균지상층수,한채당평균지하층수,예상평균층당면적,season,계절평균온도차,반대풍향여부,측면도로크기,차량통행가능여부
10,1,3,5,1,77.34,77.34,267.0,1.0,0.0,6,5.4,1.9,270.0,29.0,2,1,5,4013,589604.0,816,137.0,0,392,0,0,4949,16262,10850,1508,4,13,1,5.0,267.0,3.452288595810706,0,1.0,0.0,77.34,1,2.728833267638944,1,2,0
11,1,3,2,2,78.3,78.3,407.0,1.0,0.0,6,23.6,3.3,250.0,11.0,2,11,5,2625,445722.0,42,137.0,0,519,1,0,3165,13943,8188,580,0,18,4,23.0,203.5,5.197956577266922,0,0.5,0.0,78.3,2,9.706736996728319,1,2,1
12,0,3,3,5,131.21,131.21,407.0,2.0,0.0,6,17.1,3.4,320.0,27.0,2,5,5,6213,152778.0,1701,137.0,0,88,0,0,6865,17446,6956,3369,0,15,10,93.0,81.4,3.1018977212102734,1,0.4,0.0,65.605,0,1.6836867305061567,1,2,1
13,0,3,2,3,99.275,99.275,288.0,1.0,0.0,6,-2.7,1.4,200.0,64.0,2,1,5,8787,363655.0,135,137.0,0,253,0,0,8878,19864,7008,2320,0,1,2,18.0,96.0,2.90103248552002,1,0.3333333333333333,0.0,99.275,1,-5.371166732361056,0,2,0
14,0,3,2,4,86.04,84.42,878.71,1.0,0.0,6,14.2,2.0,270.0,95.0,2,1,5,11123,162676.0,3112,109.0,0,73,0,1,11027,85558,3188,3147,0,6,8,24.0,219.6775,10.2128079962808,0,0.25,0.0,84.42,3,-10.537439966590107,1,2,1
15,0,3,6,1,130.2,221.94,660.0,2.0,0.0,6,-1.0,2.9,320.0,36.0,2,8,5,1867,950707.0,473,137.0,0,225,0,0,2789,14118,10173,982,0,9,2,1.0,660.0,5.069124423963134,0,2.0,0.0,110.97,1,-3.671166732361056,1,2,0
16,0,3,5,3,39.78,39.78,872.05,1.0,0.0,6,10.7,0.9,230.0,69.0,2,11,5,2692,1397687.0,94,137.0,0,562,0,0,3238,14014,8152,579,0,5,3,5.0,290.68333333333334,21.921820010055303,0,0.3333333333333333,0.0,39.78,2,-3.1932630032716833,0,2,1
17,1,3,6,2,115.54,445.44,193.45,4.0,0.0,6,30.4,0.7,160.0,61.0,2,15,11,1031,494913.0,101,137.0,0,82,0,0,722,11635,9812,2,7,10,8,23.0,96.725,1.6743119266055044,1,2.0,0.0,111.36,3,5.662560033409893,0,4,0
18,0,3,2,1,100.85,97.85,352.0,1.0,0.0,6,22.0,0.3,0.0,55.0,2,1,5,2769,564129.0,680,137.0,0,954,0,0,3527,35420,14058,574,1,10,5,8.0,352.0,3.490332176499752,0,1.0,0.0,97.85,2,8.106736996728317,1,2,1
19,0,3,5,1,98.37,98.37,436.0,1.0,0.0,6,27.5,0.7,20.0,39.0,2,1,5,3684,947443.0,909,137.0,0,919,0,0,4031,35855,15028,1179,0,11,6,4.0,436.0,4.43224560333435,0,1.0,0.0,98.37,3,2.762560033409894,1,2,1
20,0,3,5,4,99.2,99.2,607.0,1.0,0.0,6,0.5,0.2,0.0,79.0,2,5,5,10128,403226.0,1013,137.0,0,1503,0,0,7213,43032,22742,2459,0,21,2,9.0,151.75,6.118951612903226,0,0.25,0.0,99.2,1,-2.171166732361056,1,2,1
21,0,3,1,2,164.46,164.46,598.0,2.0,0.0,2,25.7,2.7,340.0,17.0,2,4,5,9314,516246.0,1300,137.0,0,2202,0,0,6358,47366,26185,454,10,18,5,7.0,299.0,3.6361425270582513,0,1.0,0.0,82.23,2,11.806736996728317,1,2,0
22,1,3,1,1,65.3,55.8,330.0,1.0,0.0,6,19.1,0.7,140.0,100.0,2,1,5,9763,1112903.0,950,137.0,0,902,0,0,7025,44274,23876,1841,0,9,9,5.0,330.0,5.053598774885145,0,1.0,0.0,55.8,0,3.6836867305061567,0,2,0
23,0,3,2,3,94.26,94.26,276.0,1.0,0.0,6,21.5,0.3,0.0,96.0,2,1,5,3909,215869.0,86,137.0,0,137,0,0,3885,42515,16939,1125,0,6,8,19.0,92.0,2.928071292170592,1,0.3333333333333333,0.0,94.26,3,-3.237439966590106,1,2,1
24,0,3,5,4,99.0,99.0,584.0,1.0,0.0,6,7.2,1.4,180.0,91.0,2,1,5,5462,661616.0,871,137.0,0,413,0,0,1455,38507,14908,605,0,5,3,8.0,146.0,5.898989898989899,0,0.25,0.0,99.0,2,-6.693263003271682,0,2,1
25,1,3,6,2,226.69,379.83,380.0,2.0,0.0,5,14.3,2.2,270.0,18.0,2,1,11,6846,559499.0,167,137.0,0,63,0,2,3184,41718,18256,1,0,12,3,17.0,190.0,1.6762980281441617,1,1.0,0.0,189.915,2,0.4067369967283181,1,3,0
26,0,3,3,2,59.18,59.18,231.0,1.0,0.0,6,2.0,3.9,320.0,49.0,1,1,5,34203,106286.0,1649,161.0,0,1118,0,0,2100,25260,38536,670,0,21,12,38.0,115.5,3.903345724907063,0,0.5,0.0,59.18,1,-0.6711667323610562,1,2,1
27,1,3,4,2,74.71,74.71,406.0,2.0,0.0,6,8.8,3.1,320.0,49.0,2,1,5,32512,115613.0,600,161.0,0,401,0,0,902,23449,38199,741,0,11,12,84.0,203.0,5.434346138401821,0,1.0,0.0,37.355,1,6.128833267638944,1,2,0
28,0,3,2,1,72.51,72.51,123.0,1.0,0.0,6,27.4,2.7,180.0,80.0,2,1,5,32828,361329.0,62,161.0,0,108,1,0,159,23623,39103,27,2,15,7,22.0,123.0,1.6963177492759618,0,1.0,0.0,72.51,3,2.6625600334098927,0,2,1
29,0,3,1,1,62.8,62.8,370.0,1.0,0.0,6,14.5,2.0,140.0,53.0,2,1,5,30255,122611.0,412,161.0,0,2063,0,0,6025,22128,33121,1173,0,12,3,69.0,370.0,5.891719745222931,0,1.0,0.0,62.8,2,0.6067369967283174,0,2,1
30,0,9,6,1,141.14,240.32,304.1,1.0,1.0,5,20.4,2.3,20.0,75.0,7,1,23,32843,380254.0,103,161.0,0,58,0,6,65,23625,39187,35,0,23,9,16.0,304.1,2.1545982712200655,0,1.0,1.0,120.16,0,4.983686730506154,1,2,1
31,1,3,2,2,453.96,453.96,920.0,2.0,0.0,2,22.7,2.1,230.0,81.0,2,5,5,9797,212911.0,796,137.0,0,571,0,0,6893,41123,13759,2420,0,21,8,16.0,460.0,2.0266102740329544,0,1.0,0.0,226.98,3,-2.0374399665901066,0,2,1
32,1,3,3,10,279.28,279.28,1035.0,4.0,0.0,6,1.1,4.5,340.0,18.0,2,5,5,9629,208304.0,78,137.0,0,617,1,0,4294,35161,8228,2916,0,14,1,9.0,103.5,3.7059581781724438,1,0.4,0.0,69.82,1,-1.571166732361056,1,2,0
33,0,3,2,1,75.0,75.0,1785.13,1.0,0.0,6,33.9,1.1,70.0,49.0,2,1,5,8834,790667.0,1092,137.0,0,862,0,0,1090,30738,4007,1029,1,12,7,20.0,1785.13,23.801733333333335,0,1.0,0.0,75.0,3,9.162560033409893,1,2,1
34,0,3,2,2,87.34,87.34,383.0,1.0,0.0,6,18.1,0.6,200.0,95.0,2,1,5,9853,319441.0,1409,137.0,0,195,0,0,2394,21639,9119,1271,0,0,9,22.0,191.5,4.385161438058163,0,0.5,0.0,87.34,0,2.6836867305061567,0,2,1
35,0,3,1,8,79.87,79.87,509.0,1.0,0.0,6,1.2,0.6,200.0,45.0,2,1,5,10040,116456.0,4901,109.0,0,1376,0,0,10590,65560,2886,5418,0,22,3,55.0,63.625,6.372855890822587,1,0.125,0.0,79.87,2,-12.693263003271683,0,2,1
36,1,9,6,2,141.43,235.46,191.0,2.0,0.0,5,23.7,0.8,70.0,65.0,2,10,23,7156,919499.0,46,137.0,0,82,2,0,4522,20026,13780,17,11,16,9,0.0,95.5,1.350491409177685,1,1.0,0.0,117.73,0,8.283686730506155,1,2,1
37,0,3,5,4,74.33,74.33,268.0,1.0,0.0,6,-6.2,0.7,50.0,61.0,2,15,5,6770,753397.0,88,137.0,0,88,0,0,4897,19854,14163,94,3,21,1,4.0,67.0,3.6055428494551327,1,0.25,0.0,74.33,1,-8.871166732361056,1,2,1
38,0,3,2,2,105.34,102.89,176.0,1.0,0.0,6,12.9,3.9,50.0,48.0,2,15,5,7248,407880.0,128,137.0,0,53,0,1,4371,20201,13695,13,6,13,11,19.0,88.0,1.670780330358838,1,0.5,0.0,102.89,0,-2.5163132694938444,1,2,1
39,1,3,3,2,109.04,109.04,307.0,1.0,0.0,6,6.4,0.2,0.0,51.0,2,9,5,7619,423698.0,325,161.0,0,230,0,0,1756,7354,8478,494,0,19,1,46.0,153.5,2.8154805575935433,0,0.5,0.0,109.04,1,3.728833267638944,1,2,1
40,0,1,2,1,113.94,198.63,830.0,2.0,0.0,2,28.1,2.1,110.0,34.0,2,5,5,10936,294517.0,606,137.0,0,1112,0,0,6260,23191,4698,1659,0,13,9,18.0,830.0,7.284535720554678,0,2.0,0.0,99.315,0,12.683686730506157,0,2,0
41,1,3,5,1,90.84,68.25,648.0,1.0,0.0,6,3.2,0.4,0.0,60.0,2,1,5,8141,924542.0,513,137.0,0,70,0,1,4491,20206,8716,622,0,10,1,-3.0,648.0,7.133421400264201,0,1.0,0.0,68.25,1,0.528833267638944,1,2,1
42,0,3,1,1,53.22,53.22,119.0,1.0,0.0,6,0.4,1.8,20.0,53.0,2,1,5,11765,116498.0,1201,161.0,0,1450,0,0,1859,3236,30666,1000,0,1,12,55.0,119.0,2.236001503194288,0,1.0,0.0,53.22,1,-2.2711667323610563,1,2,1
43,0,3,3,3,81.31,81.31,177.0,1.0,0.0,6,25.7,1.0,140.0,100.0,2,1,5,8014,157377.0,22,161.0,0,210,1,0,1233,1038,27733,163,2,4,7,33.0,59.0,2.176854015496249,1,0.3333333333333333,0.0,81.31,3,0.9625600334098934,0,2,1
44,0,3,2,1,83.3,78.35,453.0,1.0,0.0,6,25.3,0.9,70.0,90.0,1,1,5,6968,269912.0,28,137.0,0,228,1,0,7106,12694,7551,2955,0,0,8,17.0,453.0,5.438175270108044,0,1.0,0.0,78.35,3,0.5625600334098948,1,2,1
45,0,3,1,2,44.83,44.83,602.0,2.0,0.0,6,12.8,1.3,160.0,72.0,2,1,5,13811,288649.0,8,161.0,0,581,2,0,3479,5243,32342,160,0,9,3,84.0,301.0,13.42850769573946,0,1.0,0.0,22.415,2,-1.093263003271682,0,2,1
46,0,3,3,3,100.62,94.12,291.0,2.0,0.0,6,-6.9,0.0,0.0,89.0,2,1,5,5047,311499.0,188,137.0,0,181,0,0,4790,19761,9076,341,0,8,12,64.0,97.0,2.8920691711389384,1,0.6666666666666666,0.0,47.06,1,-9.571166732361057,1,2,0
47,0,3,5,2,90.25,90.25,658.0,1.0,0.0,6,23.0,0.5,50.0,93.0,2,5,5,6508,554017.0,699,137.0,0,595,0,0,6354,16124,4892,1709,0,20,8,5.0,329.0,7.2908587257617725,0,0.5,0.0,90.25,3,-1.737439966590106,1,2,0
48,1,3,6,1,126.56,353.02,212.7,3.0,0.0,6,19.1,3.0,50.0,81.0,2,13,21,1376,801723.0,72,205.0,0,39,1,4,41,21391,37904,15,6,21,6,15.0,212.7,1.6806257901390644,0,3.0,0.0,117.67333333333333,3,-5.6374399665901045,1,4,1
49,0,3,1,1,30.02,30.02,264.0,1.0,0.0,6,13.2,4.7,180.0,14.0,2,1,5,4862,872751.0,1144,137.0,0,255,0,0,4692,15730,3211,193,1,5,6,5.0,264.0,8.794137241838774,0,1.0,0.0,30.02,3,-11.537439966590107,0,2,1
50,0,3,1,2,53.0,53.0,192.0,1.0,0.0,6,22.2,2.6,180.0,49.0,2,1,5,14569,364151.0,52,161.0,0,160,1,0,4695,6614,33330,100,0,12,10,79.0,96.0,3.6226415094339623,0,0.5,0.0,53.0,0,6.783686730506155,0,2,1
51,0,3,1,2,55.87,55.87,126.0,1.0,0.0,6,4.1,0.4,0.0,59.0,2,1,5,14977,147458.0,163,161.0,0,199,0,0,6200,4066,34843,72,0,9,1,61.0,63.0,2.2552353678181496,0,0.5,0.0,55.87,1,1.4288332676389435,1,2,1
52,0,3,2,3,232.1,232.1,906.0,2.0,0.0,2,6.2,0.7,290.0,50.0,2,1,5,7214,400000.0,465,137.0,0,537,0,0,3854,33253,6943,539,8,10,3,14.0,302.0,3.903489875053856,0,0.6666666666666666,0.0,116.05,2,-7.693263003271682,1,2,0
53,1,1,6,2,130.5,224.22,297.0,2.0,0.0,2,21.6,0.5,50.0,73.0,2,1,5,7962,240428.0,1056,137.0,0,1537,0,0,2134,28260,3412,1985,0,9,9,18.0,148.5,2.2758620689655173,0,1.0,0.0,112.11,0,6.183686730506157,1,2,1
54,0,3,5,2,96.44,158.2,260.0,3.0,0.0,5,-2.5,0.7,200.0,80.0,2,15,5,3252,793893.0,142,137.0,0,205,0,0,426,30750,11820,104,32,3,11,17.0,130.0,2.6959767731231854,0,1.5,0.0,52.73333333333333,0,-17.916313269493845,0,2,1
55,0,3,3,1,52.89,52.89,145.0,1.0,0.0,6,28.0,1.9,230.0,86.0,2,1,5,16944,158547.0,3143,161.0,0,224,0,0,8592,97,35721,157,0,0,8,70.0,145.0,2.7415390432974096,0,1.0,0.0,52.89,3,3.262560033409894,0,2,1
56,0,10,6,1,171.9,1307.8,249.0,8.0,1.0,5,5.9,0.9,230.0,44.0,2,3,23,3038,829118.0,92,210.0,1,82,0,1,191,747,22601,2,0,16,12,6.0,249.0,1.4485165794066317,0,8.0,1.0,145.3111111111111,1,3.228833267638944,0,3,1
57,0,3,6,2,117.1,99.25,274.4,1.0,0.0,6,4.7,1.1,290.0,87.0,2,15,5,509,2458438.0,134,210.0,0,30,0,1,168,326,24302,26,0,10,3,6.0,137.2,2.3432963279248504,0,0.5,0.0,99.25,2,-9.193263003271682,1,3,1
58,1,9,6,2,137.52,372.31,176.0,3.0,0.0,5,5.4,2.6,320.0,19.0,2,10,11,1201,986955.0,29,210.0,0,85,1,0,448,876,25109,3,13,22,3,16.0,88.0,1.2798138452588714,1,1.5,0.0,124.10333333333334,2,-8.493263003271682,1,4,1
59,1,0,1,2,3992.84,20134.0,5828.0,8.0,1.0,5,20.4,0.4,0.0,100.0,2,10,23,516,715661.0,62,210.0,0,34,2,5,696,127,27068,2,0,3,10,16.0,2914.0,1.4596127067450737,1,4.0,0.5,2237.1111111111113,0,4.983686730506154,1,4,1
60,0,3,3,2,65.12,65.12,102.0,1.0,0.0,6,9.5,1.0,340.0,59.0,2,1,5,16103,79699.0,74,161.0,0,257,1,0,7154,5407,36049,82,0,4,10,51.0,51.0,1.5663390663390662,1,0.5,0.0,65.12,0,-5.916313269493845,1,2,1
61,1,0,1,2,3992.84,20134.0,5828.0,8.0,1.0,5,25.8,0.2,0.0,100.0,2,10,23,516,715661.0,62,210.0,0,34,2,5,696,127,27068,2,0,5,8,17.0,2914.0,1.4596127067450737,1,4.0,0.5,2237.1111111111113,3,1.0625600334098948,1,4,1
62,0,3,1,2,59.5,59.5,119.0,1.0,0.0,6,6.4,3.9,270.0,56.0,2,1,5,13660,211640.0,2278,161.0,0,107,0,0,6752,7923,37222,122,0,6,12,70.0,59.5,2.0,0,0.5,0.0,59.5,1,3.728833267638944,1,2,1
63,1,3,3,2,59.6,59.6,167.0,1.0,0.0,6,11.0,4.1,200.0,46.0,2,15,5,634,770492.0,45,210.0,0,42,3,3,134,855,25935,69,1,18,3,43.0,83.5,2.802013422818792,0,0.5,0.0,59.6,2,-2.8932630032716826,0,2,0
64,0,3,3,6,51.0,51.0,155.0,1.0,0.0,6,23.9,2.3,250.0,68.0,2,15,5,1869,918919.0,17,210.0,0,56,2,1,487,500,24791,63,0,16,5,45.0,25.833333333333332,3.0392156862745097,1,0.16666666666666666,0.0,51.0,2,10.006736996728316,1,2,0
65,0,3,6,1,59.5,92.5,104.0,2.0,0.0,6,23.8,1.8,340.0,64.0,2,15,5,299,429189.0,29,210.0,0,76,1,1,146,843,26287,16,27,9,8,35.0,104.0,1.7478991596638656,0,2.0,0.0,46.25,3,-0.9374399665901052,1,2,1
66,0,3,1,2,33.25,33.25,175.0,1.0,0.0,6,10.4,3.0,20.0,59.0,2,15,5,6464,929323.0,1299,161.0,0,179,0,0,1164,8212,8703,72,0,12,11,62.0,87.5,5.2631578947368425,0,0.5,0.0,33.25,0,-5.016313269493844,1,2,1
67,0,3,6,2,90.23,124.04,513.0,2.0,0.0,6,23.3,0.7,110.0,98.0,2,11,5,2499,1378588.0,623,210.0,0,431,0,0,1509,1485,22160,61,0,7,8,15.0,256.5,5.6854704643688345,0,1.0,0.0,62.02,3,-1.4374399665901052,0,3,1
68,1,0,6,1,215.12,855.06,372.0,5.0,1.0,6,1.9,3.4,290.0,8.0,2,15,5,2837,1168284.0,139,210.0,0,24,0,2,341,1829,27136,72,0,12,12,4.0,372.0,1.7292673856452212,0,5.0,1.0,142.51,1,-0.7711667323610563,1,3,1
69,0,3,5,2,104.86,85.81,1392.0,2.0,0.0,6,23.5,2.5,320.0,53.0,2,11,6,2544,2217767.0,251,210.0,0,91,0,0,1006,958,22292,167,0,11,9,2.0,696.0,13.274842647339309,0,1.0,0.0,42.905,0,8.083686730506155,1,1,1
70,1,3,6,1,223.06,610.54,374.0,3.0,0.0,6,10.0,2.1,110.0,57.0,2,15,23,2739,887788.0,180,210.0,0,114,0,0,160,555,22876,27,0,20,3,20.0,374.0,1.6766789204698287,0,3.0,0.0,203.51333333333332,2,-3.8932630032716826,0,4,1
71,1,10,6,2,124.63,347.11,208.0,3.0,0.0,5,2.8,0.1,0.0,75.0,2,15,23,3250,874589.0,110,210.0,0,97,0,0,52,887,22343,1,0,1,3,14.0,104.0,1.6689400625852524,1,1.5,0.0,115.70333333333333,2,-11.093263003271684,1,4,1
72,1,0,6,10,2612.11,49221.17,13960.0,71.0,1.0,6,26.6,3.3,140.0,91.0,2,15,12,2640,1090923.0,91,210.0,0,101,0,0,327,286,23050,5,0,15,9,22.0,1396.0,5.344338484979575,1,7.1,0.1,683.6273611111111,0,11.183686730506157,0,4,1
73,0,3,6,1,148.04,429.66,247.0,4.0,0.0,6,19.9,1.2,50.0,38.0,2,15,5,3347,781970.0,212,210.0,0,50,0,1,251,1067,22258,20,0,11,5,4.0,247.0,1.6684679816265875,0,4.0,0.0,107.415,2,6.006736996728316,1,2,0
74,0,3,2,1,121.6,121.6,660.0,1.0,0.0,6,23.5,0.5,340.0,67.0,2,5,5,12598,740954.0,5102,174.0,0,756,0,0,10163,38739,44108,375,3,14,10,1.0,660.0,5.427631578947369,0,1.0,0.0,121.6,0,8.083686730506155,1,2,0
75,0,10,6,1,230.69,771.19,386.1,4.0,0.0,5,1.8,3.7,340.0,48.0,2,15,23,2808,1141596.0,111,210.0,0,45,0,3,3,490,22990,2,1,9,1,9.0,386.1,1.673674628289046,0,4.0,0.0,192.7975,1,-0.8711667323610561,1,4,0
76,1,10,6,1,196.28,544.37,330.3,3.0,0.0,5,15.0,3.8,140.0,80.0,2,15,11,2815,862844.0,137,210.0,0,93,0,0,350,1496,24030,2,0,20,2,15.0,330.3,1.6828000815162014,0,3.0,0.0,181.45666666666668,1,12.328833267638943,0,3,1
77,1,9,6,2,783.6,2624.34,1320.8,4.0,0.0,5,2.6,4.8,320.0,18.0,2,15,9,2778,1101400.0,148,210.0,0,28,0,1,320,1429,24112,2,0,14,2,15.0,660.4,1.6855538540071464,1,2.0,0.0,656.085,1,-0.07116673236105608,1,0,1
78,0,3,2,1,81.02,140.87,142.9,2.0,0.0,6,23.9,0.0,0.0,92.0,2,15,5,1173,716973.0,5800,176.0,0,47,0,7,511,8182,140,97,0,6,7,13.0,142.9,1.763762034065663,0,2.0,0.0,70.435,3,-0.8374399665901073,1,2,0
79,0,3,2,1,77.05,99.15,129.0,2.0,0.0,6,6.7,2.4,180.0,29.0,2,1,5,5933,373172.0,109,112.0,0,2071,0,0,2556,18144,363,2528,0,15,12,18.0,129.0,1.6742375081116159,0,2.0,0.0,49.575,1,4.0288332676389444,0,3,1
80,1,10,5,2,227.06,445.92,380.2,2.0,0.0,5,15.8,2.5,200.0,59.0,2,15,11,2053,1367805.0,47,210.0,1,42,1,1,262,549,23802,2,0,18,11,15.0,190.1,1.6744472826565664,1,1.0,0.0,222.96,0,0.383686730506156,0,3,1
81,0,3,6,1,202.8,992.92,348.0,4.0,1.0,6,4.5,2.4,110.0,64.0,2,15,23,851,516936.0,166,210.0,0,109,0,0,232,723,24918,2,10,21,2,20.0,348.0,1.7159763313609466,0,4.0,1.0,198.584,1,1.8288332676389438,0,2,1
82,0,3,3,2,83.43,83.43,351.0,1.0,0.0,6,4.5,1.7,320.0,52.0,2,15,5,815,1904144.0,102,210.0,0,196,0,0,144,888,25135,106,11,7,12,34.0,175.5,4.207119741100323,0,0.5,0.0,83.43,1,1.8288332676389438,1,2,1
83,1,3,6,1,141.5,429.68,241.0,4.0,0.0,6,16.8,2.2,320.0,26.0,2,15,5,1744,902091.0,221,210.0,0,148,0,0,332,618,23929,51,3,15,10,7.0,241.0,1.7031802120141342,0,4.0,0.0,107.42,0,1.383686730506156,1,3,0
84,1,9,6,2,783.6,2624.34,1320.8,4.0,0.0,5,19.9,0.1,0.0,74.0,2,15,9,2778,1101400.0,148,210.0,0,28,0,1,320,1429,24112,2,0,6,6,11.0,660.4,1.6855538540071464,1,2.0,0.0,656.085,3,-4.837439966590107,1,0,0
85,0,9,6,1,186.0,466.6,314.0,3.0,0.0,5,29.6,4.3,230.0,72.0,2,15,11,2305,742986.0,122,210.0,0,132,0,0,195,1423,24236,3,5,14,7,24.0,314.0,1.6881720430107527,0,3.0,0.0,155.53333333333333,3,4.8625600334098955,0,3,0
86,1,10,6,5,671.7,1111.56,1210.0,2.0,0.0,5,22.8,4.3,110.0,100.0,2,15,23,2912,1564405.0,168,210.0,1,61,0,2,419,1452,24008,2,0,6,7,17.0,242.0,1.8013994342712518,1,0.4,0.0,555.78,3,-1.9374399665901052,0,0,1
87,1,3,6,2,341.82,587.76,708.0,2.0,0.0,6,10.9,2.1,320.0,60.0,2,15,23,583,592393.0,115,210.0,0,105,0,0,5210,429,25755,3,25,12,2,22.0,354.0,2.0712655783745832,0,1.0,0.0,293.88,1,8.228833267638944,1,3,0
88,1,3,6,2,341.82,587.76,708.0,2.0,0.0,6,14.0,0.6,250.0,98.0,2,15,23,583,592393.0,115,210.0,0,105,0,0,5210,429,25755,3,25,22,3,22.0,354.0,2.0712655783745832,0,1.0,0.0,293.88,2,0.10673699672831738,1,3,1
89,0,3,5,1,88.35,88.35,488.0,1.0,0.0,6,17.2,4.3,140.0,63.0,2,1,5,2036,1222411.0,1201,210.0,0,956,0,0,3924,1231,24769,629,0,20,4,6.0,488.0,5.523486134691568,0,1.0,0.0,88.35,2,3.3067369967283167,0,2,1
90,0,3,3,4,65.4,65.4,255.0,1.0,0.0,6,31.2,3.0,230.0,61.0,2,1,5,6204,412056.0,444,210.0,0,537,0,0,1762,3917,18788,691,0,12,8,27.0,63.75,3.899082568807339,1,0.25,0.0,65.4,3,6.462560033409893,0,2,1
91,0,3,1,4,60.0,60.0,231.0,1.0,0.0,6,4.5,0.3,0.0,67.0,2,1,5,5794,285000.0,313,210.0,0,1919,0,0,3510,3920,23135,540,0,22,2,84.0,57.75,3.85,1,0.25,0.0,60.0,1,1.8288332676389438,1,2,0
